Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
987.0,1114.0,182.0,239.0,0.0,0.0,0.0,2020/03/07,1050.0,210.0,206.0,4.0,2020-03-07,210.0,3.0,0.0,4.0
1034.0,1164.0,261.0,328.0,48.35486509805696,84.13325604070099,1.2090409318693727,2020/03/08,1098.354865098057,294.133256040701,288.9242151088316,5.209040931869373,2020-03-08,228.0,3.0,18.0,4.0
1173.0,1311.0,342.0,418.0,143.3054475578997,85.36307692245975,1.6117214198880303,2020/03/09,1241.6603126559567,379.49633296316074,372.6755706114033,6.820762351757403,2020-03-09,281.0,3.0,53.0,5.0
1409.0,1561.0,433.0,519.0,242.90846618565843,95.9534955976925,2.0414220587813974,2020/03/10,1484.568778841615,475.44982856085323,466.5876441503144,8.8621844105388,2020-03-10,337.0,3.0,56.0,5.0
1757.0,1925.0,544.0,639.0,356.0638671803524,115.89376170428977,2.543171643398569,2020/03/11,1840.6326460219675,591.343590265143,579.9382342112057,11.40535605393737,2020-03-11,476.0,3.0,139.0,6.0
2237.0,2427.0,685.0,791.0,490.93792424061667,146.00996852177752,3.1638312469765424,2020/03/12,2331.570570262584,737.3535587869205,722.7843714860066,14.569187300913912,2020-03-12,645.0,4.0,169.0,8.0
2880.0,3094.0,866.0,985.0,654.9148270165642,187.81272331564958,3.9557828280710314,2020/03/13,2986.4853972791484,925.1662821025701,906.6413119735852,18.524970128984943,2020-03-13,815.0,4.0,170.0,8.0
3719.0,3962.0,1102.0,1236.0,853.9243484046233,243.3254468086542,4.979836774378132,2020/03/14,3840.4097456837717,1168.4917289112243,1144.9869220078613,23.504806903363075,2020-03-14,1375.0,4.0,560.0,15.0
4794.0,5069.0,1408.0,1559.0,1090.943578930055,314.823851939788,6.307104129176494,2020/03/15,4931.353324613827,1483.3155808510123,1453.5036698184726,29.81191103253957,2020-03-15,1563.0,4.0,188.0,17.0
6140.0,6451.0,1803.0,1973.0,1363.5387763671451,404.4062501233834,8.01921304324987,2020/03/16,6294.892100980972,1887.7218309743957,1849.8907068986064,37.83112407578944,2020-03-16,2221.0,4.0,658.0,22.0
7781.0,8131.0,2305.0,2498.0,1660.6139376045476,513.3214916162328,10.205866215597077,2020/03/17,7955.5060385855195,2401.0433225906286,2353.006332299242,48.036990291386516,2020-03-17,2353.0,4.0,132.0,23.0
9720.0,10110.0,2935.0,3151.0,1959.2115225174384,641.0353653276266,12.958489258813607,2020/03/18,9914.717561102958,3042.078687918255,2981.083208368055,60.99547955020012,2020-03-18,2772.0,4.0,419.0,25.0
11923.0,12354.0,3706.0,3948.0,2223.243970623893,784.1510379324727,16.358924334409615,2020/03/19,12137.96153172685,3826.229725850728,3748.875321966118,77.35440388460974,2020-03-19,3438.0,4.0,666.0,37.0
14309.0,14781.0,4627.0,4897.0,2406.8968665634857,935.5208382072169,20.463201859205498,2020/03/20,14544.858398290336,4761.750564057945,4663.93295831413,97.81760574381524,2020-03-20,4176.0,4.0,738.0,47.0
16755.0,17266.0,5696.0,5996.0,2464.8831278759317,1084.1128929878487,25.28264772925877,2020/03/21,17009.741526166268,5845.863457045793,5722.763203572719,123.100253473074,2020-03-21,6113.0,4.0,1937.0,60.0
19105.0,19652.0,6898.0,7227.0,2368.4173528360698,1216.2140661209814,30.76750440251986,2020/03/22,19378.158879002338,7062.077523166775,6908.209765291181,153.86775787559387,2020-03-22,7245.0,131.0,1132.0,229.0
21212.0,21786.0,8201.0,8560.0,2120.3836525280713,1318.1177830573915,36.80019080199753,2020/03/23,21498.54253153041,8380.195306224166,8189.527357546575,190.6679486775914,2020-03-23,8795.0,131.0,1550.0,251.0
22961.0,23558.0,9567.0,9954.0,1759.9370721089326,1379.5860912493226,43.20404720501017,2020/03/24,23258.47960363934,9759.781397473489,9525.909401590887,233.87199588260157,2020-03-24,9877.0,131.0,1082.0,253.0
24302.0,24917.0,10693.0,11102.0,1350.9447352362513,1137.218602526511,50.12800411739843,2020/03/25,24609.424338875593,10897.0,10613.0,284.0,2020-03-25,10897.0,131.0,1020.0,284.0
24375.0,24991.0,12030.0,12463.0,72.41471017934236,1349.23185774983,54.995046093517544,2020/03/26,24681.839049054935,12246.23185774983,11907.236811656312,338.99504609351754,,,,,
24569.0,25188.0,13250.0,13704.0,196.22927824169528,1230.3042315746316,60.99449192302205,2020/03/27,24878.06832729663,13476.536089324461,13076.546551307922,399.9895380165396,,,,,
24847.0,25470.0,14373.0,14847.0,279.7430821852795,1133.2722797914175,66.44183935497148,2020/03/28,25157.81140948191,14609.808369115879,14143.376991744368,466.4313773715111,,,,,
25165.0,25790.0,15417.0,15907.0,319.77633747259097,1051.7871894472773,71.43074721965661,2020/03/29,25477.5877469545,15661.595558563156,15123.73343397199,537.8621245911677,,,,,
25485.0,26114.0,16390.0,16895.0,321.5699669997448,980.2582697045,76.02504252435142,2020/03/30,25799.157713954246,16641.853828267656,16027.966661152137,613.8871671155191,,,,,
